"StoreNumber","TexasTown","Population","AverageHouseholdIncome","AverageTemperature","AverageTemperatureRange","CustomerSatisfaction","RxCount","RxCountChange","ReturnToStockRate","PercentInstore","AverageInstorePerformance","AverageInstoreResolution","OnTimeInstore","AverageInstoreOps","PercentExpectationsMet","PartialFillRate","OutOfStockRate","EasyPay","InputRerouting","InputQuality","RxSales","OTCSales","OTCSalesIncrease","InventoryTurnoverRate","MTMRate","DiscountCardUtilized","DiscountCardLoss"
147,"Denison",22816,31474,44,17,8.71,1807,-0.047443331576173,0.069521410579345,0.2298,27,31,0.4078,30.583333333333,0.6547,0.002865329512894,0.039398280802292,44,1,0.97164765557854,89827.1525,85771.93,0.02263056768796,8.2322083442198,0.056603773584906,886,-7694.54
158,"Bonham",10127,27277,44,20,8.96,2002,0.049266247379455,0.060578246902249,0.2896,19,22,0.663,25.583333333333,0.8384,0.007700385019251,0.04025201260063,29,0.91176470588235,0.97485222700592,103546.875,52948.0575,-0.026807085549137,10.700298232759,0.060240963855422,743,-6533.13
185,"Gainesville",16002,30571,40,10,8.69,2984,0.0084488002703615,0.064287911411873,0.2465,16,19,0.7893,15.333333333333,0.9078,0.0016389604308125,0.047998126902365,45,0.96062992125984,0.94166302176895,133404.495,98741.92,0.0072842844530698,10.464686339748,0.093333333333333,1216,-11210.46
271,"Bowie",5219,33846,44,21,8.85,1387,-0.038141470180305,0.052775873886223,0.1502,30,28,0.4941,19.333333333333,0.8587,0.0064965197215777,0.041763341067285,31,1,0.93933489596477,86699.6625,43301.96,0.026281475230182,8.6002035686341,0.56470588235294,464,-4375.87
414,"Wichita Falls",104553,32554,45,20,9.14,2333,-0.0034173430158052,0.072064777327935,0.1756,20,24,0.6092,22.833333333333,0.7454,0.0041249263406011,0.034177961107837,90,0.98837209302326,0.94800523275937,153724.0975,75941.965,0.051612231462518,9.6561356584973,0.12857142857143,734,-6612.61
420,"Wichita Falls",104553,32554,45,20,8.76,2204,0.0036429872495447,0.085655737704918,0.34,23,25,0.5079,24.166666666667,0.7202,0.0057335581787521,0.054300168634064,36,1,0.960000402,134293.635,69770.4475,-0.015151565143495,10.377327829823,0.036363636363636,832,-7110.97
467,"Denton",113383,44415,44,20,8.66,1919,0.10477835348302,0.09628302731751,0.4164,18,20,0.8803,18.75,0.9377,0.0060757684060043,0.060042887776984,17,0.95744680851064,0.9430307490303,79527.0925,82232.2475,0.032435892243853,8.9612369449057,0.49152542372881,819,-6283.65
947,"Sherman",38521,34211,44,17,8.6,2150,-0.08198121263877,0.079522043675319,0.255,26,34,0.6393,27.5,0.7116,0.0046670815183572,0.054760423148724,25,0.91139240506329,0.95275210417225,104190.095,108586.7975,0.019550719535214,7.2087148914688,0.049382716049383,1126,-10373.23
1148,"Wichita Falls",104553,32554,45,20,9.29,2279,-0.02648440837249,0.088738559490649,0.3871,19,21,0.7241,20.333333333333,0.8799,0.01131746952989,0.035693557748114,58,0.9468085106383,0.94299685800303,139691.3775,106545.8625,0.021124419990022,8.9062553227715,0.25274725274725,682,-6313.25
4627,"Denton",113383,44415,44,20,8.47,1749,-0.085251046025105,0.080146673651126,0.4013,15,16,0.9843,16.916666666667,0.9937,0.002460024600246,0.048790487904879,13,0.96363636363636,0.9614614283637,83206.1875,86352.1575,-0.041432230697752,9.1439648489675,0.2987012987013,776,-5565.64
5707,"Cross Roads",1563,77031,44,20,9.37,1575,0.18867924528302,0.056844547563805,0.1997,13,16,0.8609,15.333333333333,0.918,0.0055197792088316,0.042318307267709,39,0.96428571428571,0.95604843804396,83267.68,69245.1225,0.16148025556007,8.096629844935,1.0379746835443,701,-5150.84
